"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_1973";"830";"457";"452";"4";"236";"1";"0";"0";"220";"142";"1";"0";"0";"0";"0";"0";"0";"17";"0";"17";"0";"0";"0";"0";"1048";"56";"60";"1";"0";"0";"116";"56";"60";"1";"0";"0";"116"
"Total_1974";"1169";"639";"628";"11";"386";"5";"0";"0";"248";"161";"3";"0";"0";"0";"0";"0";"0";"24";"0";"41";"3";"0";"0";"3";"1433";"63";"98";"2";"0";"0";"163";"63";"98";"5";"0";"0";"166"
"Total_1975";"1535";"847";"829";"18";"549";"10";"0";"0";"289";"182";"5";"0";"0";"0";"0";"0";"0";"31";"0";"72";"8";"1";"0";"9";"1812";"73";"139";"4";"0";"0";"217";"73";"139";"12";"1";"0";"226"
"Total_1976";"1929";"1076";"1049";"27";"732";"17";"0";"0";"328";"212";"8";"0";"0";"0";"0";"0";"0";"37";"1";"109";"16";"3";"0";"19";"2192";"83";"186";"6";"0";"0";"276";"83";"186";"22";"3";"0";"295"
"Total_1977";"2350";"1322";"1286";"36";"934";"26";"0";"0";"364";"241";"10";"0";"0";"0";"0";"0";"1";"44";"1";"153";"26";"7";"0";"32";"2576";"92";"237";"10";"0";"0";"340";"92";"237";"36";"7";"0";"372"
"Total_1978";"2798";"1581";"1535";"47";"1152";"37";"1";"0";"396";"267";"13";"0";"0";"1";"0";"0";"1";"51";"2";"204";"37";"12";"0";"49";"2963";"101";"293";"14";"0";"0";"408";"101";"293";"51";"12";"0";"457"
"Total_1979";"3273";"1852";"1793";"59";"1381";"51";"1";"0";"426";"291";"16";"1";"0";"1";"0";"0";"1";"58";"3";"262";"52";"18";"0";"70";"3354";"108";"351";"19";"1";"0";"478";"108";"351";"71";"19";"0";"548"
"Total_1980";"3775";"2129";"2058";"71";"1620";"67";"1";"0";"452";"312";"19";"1";"0";"1";"0";"0";"2";"65";"5";"328";"68";"27";"0";"95";"3749";"115";"412";"24";"1";"0";"551";"115";"412";"92";"28";"0";"646"
"Total_1981";"4303";"2411";"2326";"85";"1865";"85";"2";"0";"475";"331";"22";"1";"0";"2";"1";"0";"2";"73";"7";"401";"86";"37";"0";"123";"4150";"121";"474";"31";"1";"0";"626";"121";"474";"117";"38";"0";"749"
"Total_1982";"4768";"2668";"2570";"99";"2114";"106";"2";"0";"468";"348";"26";"1";"0";"2";"1";"0";"3";"79";"10";"479";"106";"49";"1";"155";"4429";"119";"537";"38";"1";"0";"695";"119";"537";"144";"50";"1";"850"
"Total_1983";"5222";"2912";"2799";"113";"2344";"129";"3";"0";"465";"343";"29";"2";"0";"2";"1";"0";"4";"84";"14";"563";"128";"62";"1";"191";"4676";"118";"595";"46";"2";"0";"761";"118";"595";"174";"64";"1";"952"
"Total_1984";"5786";"3170";"3042";"127";"2559";"155";"3";"0";"489";"341";"32";"2";"0";"3";"2";"0";"4";"91";"18";"654";"151";"77";"1";"230";"5065";"124";"650";"54";"2";"0";"831";"124";"650";"205";"79";"1";"1061"
"Total_1985";"6409";"3426";"3285";"141";"2780";"182";"4";"0";"505";"358";"35";"3";"0";"3";"2";"0";"5";"100";"24";"753";"175";"94";"1";"271";"5508";"128";"706";"63";"3";"0";"900";"128";"706";"238";"97";"1";"1171"
"Total_1986";"6952";"3649";"3495";"154";"3003";"210";"5";"0";"487";"370";"38";"3";"0";"4";"2";"0";"6";"106";"30";"859";"200";"112";"1";"313";"5804";"124";"763";"72";"3";"0";"962";"124";"763";"272";"115";"1";"1275"
"Total_1987";"7490";"3853";"3685";"168";"3200";"241";"6";"0";"474";"357";"41";"4";"0";"4";"3";"0";"7";"112";"37";"971";"224";"131";"2";"357";"6073";"120";"813";"82";"4";"0";"1019";"120";"813";"306";"135";"2";"1376"
"Total_1988";"8014";"4113";"3932";"181";"3378";"272";"6";"0";"536";"348";"44";"4";"0";"5";"3";"0";"8";"117";"45";"1088";"250";"151";"2";"403";"6311";"136";"858";"92";"4";"0";"1091";"136";"858";"342";"155";"2";"1494"
"Total_1989";"8560";"4270";"4076";"194";"3592";"305";"7";"0";"459";"393";"46";"5";"0";"6";"4";"0";"9";"123";"55";"1211";"275";"172";"2";"450";"6583";"117";"912";"102";"5";"0";"1136";"117";"912";"377";"177";"2";"1586"
"Total_1990";"9171";"4608";"4401";"208";"3739";"338";"8";"0";"627";"336";"49";"5";"0";"6";"4";"0";"10";"130";"65";"1341";"299";"193";"3";"495";"6918";"159";"950";"113";"5";"0";"1228";"159";"950";"412";"198";"3";"1723"
"Total_1991";"9799";"4926";"4707";"219";"4002";"373";"9";"0";"661";"460";"51";"6";"0";"7";"5";"0";"12";"138";"77";"1478";"326";"215";"3";"544";"7286";"168";"1016";"124";"6";"0";"1315";"168";"1016";"450";"221";"3";"1859"
"Total_1992";"10420";"5348";"5113";"236";"4278";"409";"10";"1";"782";"484";"55";"7";"1";"8";"5";"0";"13";"145";"89";"1624";"351";"237";"4";"591";"7621";"199";"1087";"136";"7";"0";"1428";"199";"1087";"487";"244";"4";"2019"
"Total_1993";"11057";"5598";"5345";"253";"4629";"447";"11";"1";"658";"573";"58";"7";"1";"8";"6";"0";"14";"153";"103";"1777";"379";"258";"4";"641";"7977";"167";"1176";"148";"7";"0";"1499";"167";"1176";"527";"265";"4";"2140"
"Total_1994";"11713";"5996";"5722";"274";"4871";"489";"12";"1";"786";"482";"63";"8";"1";"9";"6";"0";"15";"161";"119";"1938";"406";"280";"4";"690";"8311";"200";"1237";"162";"8";"0";"1607";"200";"1237";"568";"288";"4";"2297"
"Total_1995";"12509";"6354";"6063";"291";"5192";"531";"14";"1";"795";"576";"66";"9";"1";"10";"7";"0";"17";"172";"136";"2109";"437";"303";"5";"745";"8837";"202";"1319";"175";"9";"0";"1705";"202";"1319";"612";"312";"5";"2450"
"Total_1996";"13310";"6589";"6278";"311";"5505";"576";"15";"1";"690";"583";"71";"9";"1";"11";"8";"0";"18";"182";"154";"2292";"467";"327";"5";"799";"9323";"175";"1398";"189";"9";"1";"1773";"175";"1398";"656";"336";"6";"2572"
"Total_1997";"14276";"7017";"6687";"330";"5724";"623";"16";"1";"870";"506";"75";"10";"1";"11";"8";"0";"20";"196";"174";"2488";"495";"352";"5";"852";"9973";"221";"1454";"204";"10";"1";"1890";"221";"1454";"699";"362";"6";"2742"
"Total_1998";"15213";"7323";"6976";"347";"6062";"671";"18";"1";"809";"638";"78";"11";"1";"12";"9";"0";"21";"209";"195";"2696";"528";"377";"6";"911";"10555";"205";"1540";"219";"11";"1";"1976";"205";"1540";"747";"388";"7";"2887"
"Total_1999";"16354";"7647";"7279";"368";"6341";"721";"19";"1";"825";"593";"83";"12";"1";"13";"10";"0";"23";"225";"218";"2921";"556";"403";"6";"966";"11350";"209";"1611";"235";"12";"1";"2067";"209";"1611";"791";"415";"7";"3033"
"Total_2000";"17613";"7905";"7518";"387";"6616";"773";"20";"1";"780";"605";"86";"13";"1";"14";"11";"0";"25";"243";"242";"3165";"587";"429";"7";"1023";"12231";"198";"1680";"250";"13";"1";"2142";"198";"1680";"837";"442";"8";"3165"
