"type";"variable";"prettyName";"year";"value"
"OVERLAPPING PREVALENCE";"Total";"Alive";1973;830
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1973;457
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1973;452
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1973;4
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1973;236
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1973;1
"DISCRETE PREVALENCE";"Total";"HCC";1973;0
"DISCRETE PREVALENCE";"Total";"Transplant";1973;0
"INCIDENCE";"Total";"HCV+ acute";1973;220
"INCIDENCE";"Total";"HCV+ chronic";1973;142
"INCIDENCE";"Total";"Cirrhosis";1973;1
"INCIDENCE";"Total";"HCC";1973;0
"INCIDENCE";"Total";"Transplant";1973;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1973;0
"YEARLY MORTALITY";"Total";"HCC";1973;0
"YEARLY MORTALITY";"Total";"Transplant";1973;0
"YEARLY MORTALITY";"Total";"HCV related";1973;0
"YEARLY MORTALITY";"Total";"Not related to HCV";1973;17
"CUMULATIVE MORTALITY";"Total";"HCV related";1973;0
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1973;17
"YLLs";"Total";"Cirrhosis";1973;0
"YLLs";"Total";"HCC";1973;0
"YLLs";"Total";"Transplant";1973;0
"YLLs";"Total";"HCV related";1973;0
"YLLs";"Total";"Not related to HCV";1973;1048
"YLDs";"Total";"HCV+ acute";1973;56
"YLDs";"Total";"HCV+ chronic";1973;60
"YLDs";"Total";"Cirrhosis";1973;1
"YLDs";"Total";"HCC";1973;0
"YLDs";"Total";"Transplant";1973;0
"YLDs";"Total";"Total";1973;116
"DALYs";"Total";"HCV+ acute";1973;56
"DALYs";"Total";"HCV+ chronic";1973;60
"DALYs";"Total";"Cirrhosis";1973;1
"DALYs";"Total";"HCC";1973;0
"DALYs";"Total";"Transplant";1973;0
"DALYs";"Total";"HCV related";1973;116
"OVERLAPPING PREVALENCE";"Total";"Alive";1974;1169
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1974;639
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1974;628
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1974;11
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1974;386
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1974;5
"DISCRETE PREVALENCE";"Total";"HCC";1974;0
"DISCRETE PREVALENCE";"Total";"Transplant";1974;0
"INCIDENCE";"Total";"HCV+ acute";1974;248
"INCIDENCE";"Total";"HCV+ chronic";1974;161
"INCIDENCE";"Total";"Cirrhosis";1974;3
"INCIDENCE";"Total";"HCC";1974;0
"INCIDENCE";"Total";"Transplant";1974;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1974;0
"YEARLY MORTALITY";"Total";"HCC";1974;0
"YEARLY MORTALITY";"Total";"Transplant";1974;0
