"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_1973";"703";"378";"375";"  1";"180";"  0";"  0";"  0";"183";"105";"  0";"  0";"  0";"  0";"  0";"  0";"  0";"  9";"  0";"  9";"  0";"  0";"  0";"  0";"530";" 46";" 46";"  0";"  0";"  0";" 96";" 46";" 46";"  0";"  0";"  0";" 96"
"Total_1974";"1016";" 538";" 530";"   4";" 310";"   0";"   0";"   0";" 211";" 130";"   0";"   0";"   0";"   0";"   0";"   0";"   0";"  14";"   0";"  26";"   0";"   0";"   0";"   0";" 827";"  54";"  79";"   0";"   0";"   0";" 137";"  54";"  79";"   0";"   0";"   0";" 138"
"Total_1975";"1364";" 724";" 711";"   9";" 454";"   3";"   0";"   0";" 249";" 149";"   1";"   0";"   0";"   0";"   0";"   0";"   0";"  20";"   0";"  52";"   0";"   0";"   0";"   0";"1182";"  63";" 115";"   1";"   0";"   0";" 185";"  63";" 115";"   1";"   0";"   0";" 186"
"Total_1976";"1737";" 934";" 912";"  15";" 612";"   7";"   0";"   0";" 288";" 175";"   2";"   0";"   0";"   0";"   0";"   0";"   0";"  25";"   0";"  84";"   0";"   0";"   0";"   0";"1505";"  73";" 155";"   3";"   0";"   0";" 239";"  73";" 155";"   3";"   0";"   0";" 240"
"Total_1977";"2142";"1164";"1133";"  22";" 800";"  12";"   0";"   0";" 322";" 200";"   4";"   0";"   0";"   0";"   0";"   0";"   0";"  31";"   0";" 123";"   0";"   0";"   0";"   0";"1804";"  82";" 203";"   5";"   0";"   0";" 298";"  82";" 203";"   5";"   0";"   0";" 300"
"Total_1978";"2577";"1399";"1360";"  31";"1003";"  21";"   0";"   0";" 354";" 227";"   6";"   0";"   0";"   0";"   0";"   0";"   0";"  38";"   0";" 169";"   0";"   0";"   0";"   0";"2203";"  90";" 255";"   8";"   0";"   0";" 361";"  90";" 255";"   8";"   0";"   0";" 362"
"Total_1979";"3040";"1657";"1608";"  40";"1206";"  31";"   0";"   0";" 381";" 250";"   7";"   0";"   0";"   0";"   0";"   0";"   0";"  44";"   0";" 223";"   0";"   0";"   0";"   0";"2494";"  97";" 306";"  12";"   0";"   0";" 428";"  97";" 306";"  12";"   0";"   0";" 436"
"Total_1980";"3522";"1920";"1855";"  51";"1435";"  42";"   0";"   0";" 410";" 272";"  11";"   0";"   0";"   0";"   0";"   0";"   0";"  49";"   1";" 282";"   0";"   0";"   0";"   0";"2782";" 104";" 364";"  15";"   0";"   0";" 496";" 104";" 364";"  17";"   0";"   0";" 513"
"Total_1981";"4018";"2177";"2101";"  61";"1657";"  56";"   0";"   0";" 429";" 291";"  13";"   0";"   0";"   0";"   0";"   0";"   0";"  55";"   2";" 352";"   0";"   0";"   0";"   0";"3130";" 109";" 421";"  20";"   0";"   0";" 564";" 109";" 421";"  23";"   0";"   0";" 600"
"Total_1982";"4465";"2411";"2322";"  74";"1895";"  72";"   0";"   0";" 422";" 303";"  16";"   0";"   0";"   0";"   0";"   0";"   0";"  61";"   3";" 425";"   0";"   0";"   0";"   0";"3434";" 107";" 481";"  26";"   0";"   0";" 625";" 107";" 481";"  29";"   0";"   0";" 661"
"Total_1983";"4913";"2642";"2541";"  87";"2104";"  90";"   0";"   0";" 423";" 299";"  18";"   0";"   0";"   0";"   0";"   0";"   0";"  66";"   6";" 502";"   0";"   0";"   0";"   0";"3718";" 107";" 534";"  32";"   0";"   0";" 689";" 107";" 534";"  37";"   0";"   0";" 745"
"Total_1984";"5458";"2882";"2764";"  97";"2311";" 112";"   0";"   0";" 443";" 301";"  21";"   0";"   0";"   0";"   0";"   0";"   1";"  71";"   8";" 587";"   0";"   0";"   0";"  48";"3952";" 113";" 587";"  39";"   0";"   0";" 752";" 113";" 587";"  49";"   1";"   0";" 833"
"Total_1985";"6051";"3125";"2993";" 110";"2511";" 133";"   1";"   0";" 461";" 313";"  22";"   0";"   0";"   0";"   0";"   0";"   1";"  80";"  11";" 683";"   0";"   0";"   0";"  50";"4456";" 117";" 638";"  47";"   1";"   0";" 820";" 117";" 638";"  57";"   1";"   0";" 902"
"Total_1986";"6592";"3343";"3201";" 121";"2722";" 157";"   1";"   0";" 442";" 328";"  25";"   0";"   0";"   1";"   0";"   0";"   2";"  84";"  16";" 783";"  43";"   0";"   0";"  91";"4635";" 112";" 691";"  54";"   1";"   0";" 878";" 112";" 691";" 107";"   1";"   0";"1007"
"Total_1987";"7108";"3514";"3350";" 135";"2897";" 182";"   1";"   0";" 426";" 313";"  28";"   0";"   0";"   1";"   0";"   0";"   2";"  89";"  22";" 892";"  44";"   0";"   0";" 111";"4853";" 108";" 736";"  62";"   1";"   0";" 928";" 108";" 736";" 115";"   2";"   0";"1095"
