"type";"variable";"prettyName";"year";"value"
"OVERLAPPING PREVALENCE";"Total";"Alive";1973;703
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1973;378
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1973;375
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1973;1
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1973;180
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1973;0
"DISCRETE PREVALENCE";"Total";"HCC";1973;0
"DISCRETE PREVALENCE";"Total";"Transplant";1973;0
"INCIDENCE";"Total";"HCV+ acute";1973;183
"INCIDENCE";"Total";"HCV+ chronic";1973;105
"INCIDENCE";"Total";"Cirrhosis";1973;0
"INCIDENCE";"Total";"HCC";1973;0
"INCIDENCE";"Total";"Transplant";1973;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1973;0
"YEARLY MORTALITY";"Total";"HCC";1973;0
"YEARLY MORTALITY";"Total";"Transplant";1973;0
"YEARLY MORTALITY";"Total";"HCV related";1973;0
"YEARLY MORTALITY";"Total";"Not related to HCV";1973;9
"CUMULATIVE MORTALITY";"Total";"HCV related";1973;0
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1973;9
"YLLs";"Total";"Cirrhosis";1973;0
"YLLs";"Total";"HCC";1973;0
"YLLs";"Total";"Transplant";1973;0
"YLLs";"Total";"HCV related";1973;0
"YLLs";"Total";"Not related to HCV";1973;530
"YLDs";"Total";"HCV+ acute";1973;46
"YLDs";"Total";"HCV+ chronic";1973;46
"YLDs";"Total";"Cirrhosis";1973;0
"YLDs";"Total";"HCC";1973;0
"YLDs";"Total";"Transplant";1973;0
"YLDs";"Total";"Total";1973;96
"DALYs";"Total";"HCV+ acute";1973;46
"DALYs";"Total";"HCV+ chronic";1973;46
"DALYs";"Total";"Cirrhosis";1973;0
"DALYs";"Total";"HCC";1973;0
"DALYs";"Total";"Transplant";1973;0
"DALYs";"Total";"HCV related";1973;96
