"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_1973";" 810";" 446";" 442";"   8";" 218";"   4";"   0";"   0";" 239";" 139";"   4";"   0";"   0";"   0";"   0";"   0";"   0";"  24";"   0";"  24";"   0";"   0";"   0";"   0";"1463";"  61";"  55";"   2";"   0";"   0";" 114";"  61";"  55";"   2";"   0";"   0";" 114"
"Total_1974";"1175";" 640";" 630";"  16";" 382";"   8";"   0";"   0";" 270";" 182";"   6";"   0";"   0";"   1";"   0";"   0";"   1";"  32";"   1";"  50";"  61";"   0";"   0";"  61";"1916";"  69";"  97";"   3";"   0";"   0";" 163";"  69";"  97";"  63";"   0";"   0";" 210"
"Total_1975";"1561";" 864";" 846";"  25";" 560";"  15";"   1";"   0";" 314";" 205";"   9";"   1";"   0";"   1";"   0";"   0";"   1";"  41";"   1";"  84";"  65";"   0";"   0";"  65";"2445";"  80";" 142";"   6";"   1";"   0";" 221";"  80";" 142";"  68";"   1";"   0";" 272"
"Total_1976";"1974";"1106";"1082";"  35";" 754";"  25";"   1";"   0";" 355";" 241";"  13";"   1";"   0";"   1";"   1";"   0";"   2";"  49";"   2";" 124";"  67";"  59";"   0";" 113";"2860";"  90";" 192";"   9";"   1";"   0";" 283";"  90";" 192";"  76";"  59";"   0";" 377"
"Total_1977";"2417";"1375";"1339";"  46";" 969";"  36";"   2";"   0";" 395";" 270";"  16";"   2";"   0";"   2";"   1";"   0";"   2";"  56";"   3";" 171";" 120";"  63";"   0";" 122";"3288";" 100";" 246";"  14";"   1";"   0";" 353";" 100";" 246";" 130";"  63";"   0";" 459"
"Total_1978";"2884";"1645";"1595";"  59";"1206";"  50";"   2";"   0";" 431";" 302";"  20";"   2";"   0";"   3";"   1";"   0";"   3";"  64";"   5";" 224";" 150";"  63";"   0";" 173";"3769";" 109";" 306";"  18";"   1";"   0";" 424";" 109";" 306";" 167";"  64";"   0";" 577"
"Total_1979";"3375";"1932";"1870";"  72";"1449";"  67";"   3";"   1";" 462";" 325";"  23";"   3";"   1";"   3";"   2";"   0";"   4";"  73";"   7";" 287";" 173";" 102";"   0";" 213";"4213";" 117";" 368";"  25";"   2";"   1";" 499";" 117";" 368";" 191";" 103";"   1";" 685"
"Total_1980";"3909";"2230";"2152";"  87";"1703";"  86";"   4";"   1";" 489";" 351";"  27";"   3";"   1";"   4";"   2";"   0";"   5";"  80";"  10";" 358";" 223";" 119";"   0";" 273";"4618";" 124";" 433";"  31";"   3";"   1";" 577";" 124";" 433";" 250";" 121";"   1";" 814"
"Total_1981";"4447";"2534";"2442";" 103";"1968";" 108";"   5";"   1";" 515";" 368";"  31";"   4";"   1";"   4";"   3";"   0";"   5";"  89";"  13";" 433";" 228";" 155";"   0";" 296";"5093";" 131";" 500";"  39";"   3";"   1";" 659";" 131";" 500";" 258";" 157";"   1";" 926"
"Total_1982";"4937";"2804";"2706";" 117";"2243";" 132";"   6";"   1";" 506";" 388";"  35";"   4";"   1";"   5";"   3";"   0";"   7";"  95";"  18";" 517";" 271";" 169";"   0";" 364";"5379";" 129";" 570";"  47";"   4";"   1";" 730";" 129";" 570";" 308";" 172";"   1";"1050"
"Total_1983";"5408";"3068";"2949";" 135";"2482";" 159";"   6";"   1";" 504";" 384";"  40";"   5";"   1";"   6";"   4";"   0";"   7";" 102";"  22";" 604";" 309";" 175";"   0";" 392";"5745";" 128";" 630";"  56";"   4";"   1";" 802";" 128";" 630";" 353";" 178";"   1";"1163"
"Total_1984";"6003";"3341";"3208";" 149";"2715";" 190";"   7";"   1";" 530";" 380";"  43";"   5";"   1";"   6";"   4";"   0";"   9";" 109";"  28";" 695";" 326";" 214";"   0";" 464";"6100";" 135";" 690";"  67";"   4";"   1";" 875";" 135";" 690";" 380";" 217";"   1";"1291"
"Total_1985";"6637";"3614";"3465";" 166";"2952";" 219";"   8";"   1";" 550";" 401";"  47";"   6";"   1";"   7";"   5";"   0";"  10";" 118";"  34";" 799";" 373";" 253";"   0";" 530";"6533";" 140";" 750";"  76";"   5";"   1";" 949";" 140";" 750";" 438";" 258";"   1";"1415"
"Total_1986";"7195";"3851";"3688";" 176";"3183";" 253";"  10";"   2";" 527";" 416";"  51";"   7";"   2";"   8";"   6";"   0";"  12";" 125";"  42";" 910";" 407";" 298";"   0";" 588";"6875";" 134";" 808";"  87";"   6";"   1";"1018";" 134";" 808";" 480";" 303";"   2";"1569"
"Total_1987";"7736";"4081";"3896";" 195";"3414";" 285";"  11";"   1";" 517";" 403";"  53";"   8";"   1";"   9";"   6";"   1";"  13";" 132";"  52";"1027";" 467";" 323";"  50";" 666";"7224";" 131";" 867";"  97";"   7";"   1";"1080";" 131";" 867";" 550";" 327";"  51";"1684"
"Total_1988";"8297";"4365";"4171";" 210";"3596";" 320";"  12";"   2";" 580";" 388";"  57";"   9";"   2";"   9";"   7";"   1";"  15";" 137";"  62";"1146";" 479";" 356";"  44";" 719";"7461";" 147";" 913";" 109";"   8";"   1";"1156";" 147";" 913";" 580";" 362";"  45";"1828"
"Total_1989";"8854";"4524";"4319";" 221";"3831";" 359";"  13";"   2";" 500";" 439";"  59";"   9";"   2";"  11";"   8";"   1";"  16";" 145";"  73";"1273";" 538";" 369";"  50";" 775";"7737";" 127";" 973";" 120";"   8";"   1";"1205";" 127";" 973";" 642";" 376";"  51";"1916"
"Total_1990";"9479";"4889";"4672";" 239";"3998";" 397";"  15";"   2";" 684";" 383";"  64";"  10";"   2";"  11";"   9";"   1";"  17";" 151";"  85";"1400";" 534";" 420";"  51";" 811";"8106";" 174";"1015";" 133";"   9";"   1";"1304";" 174";"1015";" 652";" 425";"  52";"2052"
"Total_1991";"10150";" 5237";" 5011";"  253";" 4288";"  436";"   17";"    2";"  713";"  512";"   66";"   11";"    2";"   12";"    9";"    1";"   18";"  160";"   99";" 1540";"  569";"  427";"   47";"  880";" 8544";"  181";" 1089";"  145";"   11";"    1";" 1398";"  181";" 1089";"  706";"  437";"   48";" 2195"
"Total_1992";"10774";" 5669";" 5435";"  270";" 4579";"  480";"   17";"    3";"  835";"  534";"   70";"   12";"    3";"   13";"   10";"    1";"   21";"  169";"  114";" 1690";"  616";"  460";"   48";"  964";" 8893";"  212";" 1163";"  160";"   11";"    2";" 1513";"  212";" 1163";"  767";"  469";"   50";" 2388"
"Total_1993";"11406";" 5950";" 5683";"  289";" 4946";"  521";"   19";"    3";"  710";"  630";"   74";"   13";"    3";"   14";"   11";"    1";"   22";"  177";"  131";" 1849";"  659";"  509";"   49";" 1019";" 9244";"  180";" 1256";"  174";"   12";"    2";" 1596";"  180";" 1256";"  813";"  518";"   50";" 2527"
"Total_1994";"12077";" 6369";" 6066";"  313";" 5195";"  572";"   20";"    3";"  846";"  534";"   80";"   14";"    3";"   15";"   12";"    1";"   24";"  187";"  147";" 2014";"  704";"  528";"   48";" 1081";" 9715";"  215";" 1320";"  191";"   13";"    2";" 1706";"  215";" 1320";"  875";"  538";"   48";" 2701"
"Total_1995";"12886";" 6752";" 6443";"  334";" 5551";"  623";"   21";"    3";"  860";"  635";"   83";"   14";"    3";"   16";"   13";"    1";"   25";"  200";"  169";" 2190";"  734";"  568";"   50";" 1109";"10268";"  218";" 1410";"  204";"   13";"    2";" 1814";"  218";" 1410";"  918";"  577";"   51";" 2850"
