"type";"variable";"prettyName";"year";"value"
"OVERLAPPING PREVALENCE";"Total";"Alive";1973;810
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1973;446
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1973;442
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1973;8
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1973;218
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1973;4
"DISCRETE PREVALENCE";"Total";"HCC";1973;0
"DISCRETE PREVALENCE";"Total";"Transplant";1973;0
"INCIDENCE";"Total";"HCV+ acute";1973;239
"INCIDENCE";"Total";"HCV+ chronic";1973;139
"INCIDENCE";"Total";"Cirrhosis";1973;4
"INCIDENCE";"Total";"HCC";1973;0
"INCIDENCE";"Total";"Transplant";1973;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1973;0
"YEARLY MORTALITY";"Total";"HCC";1973;0
"YEARLY MORTALITY";"Total";"Transplant";1973;0
"YEARLY MORTALITY";"Total";"HCV related";1973;0
"YEARLY MORTALITY";"Total";"Not related to HCV";1973;24
"CUMULATIVE MORTALITY";"Total";"HCV related";1973;0
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1973;24
"YLLs";"Total";"Cirrhosis";1973;0
"YLLs";"Total";"HCC";1973;0
"YLLs";"Total";"Transplant";1973;0
"YLLs";"Total";"HCV related";1973;0
"YLLs";"Total";"Not related to HCV";1973;1463
"YLDs";"Total";"HCV+ acute";1973;61
"YLDs";"Total";"HCV+ chronic";1973;55
"YLDs";"Total";"Cirrhosis";1973;2
"YLDs";"Total";"HCC";1973;0
"YLDs";"Total";"Transplant";1973;0
"YLDs";"Total";"Total";1973;114
"DALYs";"Total";"HCV+ acute";1973;61
"DALYs";"Total";"HCV+ chronic";1973;55
"DALYs";"Total";"Cirrhosis";1973;2
"DALYs";"Total";"HCC";1973;0
"DALYs";"Total";"Transplant";1973;0
"DALYs";"Total";"HCV related";1973;114
"OVERLAPPING PREVALENCE";"Total";"Alive";1974;1175
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1974;640
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1974;630
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1974;16
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1974;382
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1974;8
"DISCRETE PREVALENCE";"Total";"HCC";1974;0
"DISCRETE PREVALENCE";"Total";"Transplant";1974;0
"INCIDENCE";"Total";"HCV+ acute";1974;270
"INCIDENCE";"Total";"HCV+ chronic";1974;182
"INCIDENCE";"Total";"Cirrhosis";1974;6
"INCIDENCE";"Total";"HCC";1974;0
"INCIDENCE";"Total";"Transplant";1974;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1974;1
"YEARLY MORTALITY";"Total";"HCC";1974;0
"YEARLY MORTALITY";"Total";"Transplant";1974;0
"YEARLY MORTALITY";"Total";"HCV related";1974;1
"YEARLY MORTALITY";"Total";"Not related to HCV";1974;32
"CUMULATIVE MORTALITY";"Total";"HCV related";1974;1
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1974;50
"YLLs";"Total";"Cirrhosis";1974;61
"YLLs";"Total";"HCC";1974;0
"YLLs";"Total";"Transplant";1974;0
"YLLs";"Total";"HCV related";1974;61
"YLLs";"Total";"Not related to HCV";1974;1916
"YLDs";"Total";"HCV+ acute";1974;69
"YLDs";"Total";"HCV+ chronic";1974;97
"YLDs";"Total";"Cirrhosis";1974;3
"YLDs";"Total";"HCC";1974;0
"YLDs";"Total";"Transplant";1974;0
"YLDs";"Total";"Total";1974;163
"DALYs";"Total";"HCV+ acute";1974;69
"DALYs";"Total";"HCV+ chronic";1974;97
"DALYs";"Total";"Cirrhosis";1974;63
"DALYs";"Total";"HCC";1974;0
"DALYs";"Total";"Transplant";1974;0
"DALYs";"Total";"HCV related";1974;210
"OVERLAPPING PREVALENCE";"Total";"Alive";1975;1561
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1975;864
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1975;846
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1975;25
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1975;560
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1975;15
"DISCRETE PREVALENCE";"Total";"HCC";1975;1
"DISCRETE PREVALENCE";"Total";"Transplant";1975;0
"INCIDENCE";"Total";"HCV+ acute";1975;314
"INCIDENCE";"Total";"HCV+ chronic";1975;205
"INCIDENCE";"Total";"Cirrhosis";1975;9
"INCIDENCE";"Total";"HCC";1975;1
"INCIDENCE";"Total";"Transplant";1975;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1975;1
"YEARLY MORTALITY";"Total";"HCC";1975;0
"YEARLY MORTALITY";"Total";"Transplant";1975;0
"YEARLY MORTALITY";"Total";"HCV related";1975;1
"YEARLY MORTALITY";"Total";"Not related to HCV";1975;41
"CUMULATIVE MORTALITY";"Total";"HCV related";1975;1
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1975;84
"YLLs";"Total";"Cirrhosis";1975;65
"YLLs";"Total";"HCC";1975;0
"YLLs";"Total";"Transplant";1975;0
"YLLs";"Total";"HCV related";1975;65
"YLLs";"Total";"Not related to HCV";1975;2445
"YLDs";"Total";"HCV+ acute";1975;80
"YLDs";"Total";"HCV+ chronic";1975;142
"YLDs";"Total";"Cirrhosis";1975;6
"YLDs";"Total";"HCC";1975;1
"YLDs";"Total";"Transplant";1975;0
"YLDs";"Total";"Total";1975;221
"DALYs";"Total";"HCV+ acute";1975;80
"DALYs";"Total";"HCV+ chronic";1975;142
"DALYs";"Total";"Cirrhosis";1975;68
"DALYs";"Total";"HCC";1975;1
"DALYs";"Total";"Transplant";1975;0
"DALYs";"Total";"HCV related";1975;272
"OVERLAPPING PREVALENCE";"Total";"Alive";1976;1974
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1976;1106
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1976;1082
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1976;35
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1976;754
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1976;25
"DISCRETE PREVALENCE";"Total";"HCC";1976;1
"DISCRETE PREVALENCE";"Total";"Transplant";1976;0
"INCIDENCE";"Total";"HCV+ acute";1976;355
"INCIDENCE";"Total";"HCV+ chronic";1976;241
"INCIDENCE";"Total";"Cirrhosis";1976;13
"INCIDENCE";"Total";"HCC";1976;1
"INCIDENCE";"Total";"Transplant";1976;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1976;1
"YEARLY MORTALITY";"Total";"HCC";1976;1
"YEARLY MORTALITY";"Total";"Transplant";1976;0
